name,description,category,coinCost,durationDays,sortOrder,imageFile,svgaFile,level
Frame 01,,frame,120,0,1,33-1ebf3a80-6f3a-4bbf-80de-d0ff5987835c.png,,
Frame 02,,frame,180,0,2,39-0d36c7ae-afc5-4a19-801c-5db93d3a5f42.png,,
Frame 03,,frame,260,0,3,29-506ad564-9885-447f-bb3c-8d92e188e142.png,,
Frame 04,,frame,350,0,4,16-056ff3bc-5182-43dd-99c4-3300bf2b0674.png,,
Frame 05,,frame,420,0,5,32-b090415f-d135-4b9d-ba4e-6e86e0a2afb8.png,,
Frame 06,,frame,520,0,6,50-9795afdc-2f04-471b-8c23-dde448e74c00.png,,
Frame 07,,frame,650,0,7,49-7df145b9-0891-48e1-8eff-ad5a941bbb49.png,,
Frame 08,,frame,800,0,8,63-c080835f-0f13-4d43-9896-25faa1f637d7.png,,
